vehicle_id,window_start,window_end,drive_hours,distance_km,insufficient_exposure_flag,harsh_episode_count,short_speeding_episode_count,long_speeding_episode_count,speeding_episode_count,power_violation_episode_count,camera_obstruction_episode_count,fatigue_episode_count,driver_distraction_episode_count,situational_risk_episode_count,crash_count,ubi_proxy_score,vehicle_behaviour_class
434887440,2026-01-01,2026-02-01,14.148055555555555,529.0,0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.47237051792828694,Medium
435028160,2026-01-01,2026-02-01,62.639722222222225,137.0,0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,30.0,0.0,2,0.5212350597609562,Medium
435288506,2026-01-01,2026-02-01,5.618611111111111,170.0,0,0.0,0.0,0.0,0.0,22.0,1.0,2.0,0.0,0.0,0,0.47195219123505977,Medium
436759512,2026-01-01,2026-02-01,62.65833333333333,379.0,0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0,0.4713346613545817,Medium
437380121,2026-01-01,2026-02-01,80.52111111111111,428.0,0,0.0,0.0,0.0,0.0,1.0,1.0,22.0,57.0,198.0,0,0.6023107569721117,High
437381828,2026-01-01,2026-02-01,102.72277777777778,354.0,0,2.0,0.0,0.0,0.0,2.0,1.0,7.0,1.0,0.0,0,0.5596812749003984,High
442548435,2026-01-01,2026-02-01,2.508888888888889,12.0,1,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0.46806772908366534,Insufficient Exposure
443385724,2026-01-01,2026-02-01,13.7625,58.0,0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.40155378486055776,Low
443413751,2026-01-01,2026-02-01,54.49722222222222,719.0,0,4.0,1.0,8.0,9.0,0.0,0.0,0.0,3.0,0.0,0,0.5890239043824702,High
443657921,2026-01-01,2026-02-01,85.54805555555555,881.0,0,25.0,0.0,0.0,0.0,1.0,0.0,2.0,120.0,0.0,0,0.6103984063745022,High
443665553,2026-01-01,2026-02-01,6.89,95.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0,0.3795418326693228,Low
443668611,2026-01-01,2026-02-01,14.113611111111112,297.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,607.0,0,0.39906374501992037,Low
443717449,2026-01-01,2026-02-01,91.89194444444445,944.0,0,14.0,2.0,6.0,8.0,1.0,0.0,2.0,99.0,0.0,0,0.7527888446215141,High
443733464,2026-01-01,2026-02-01,6.300833333333333,133.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0,0,0.3879083665338646,Low
443744270,2026-01-01,2026-02-01,60.63194444444444,570.0,0,4.0,5.0,0.0,5.0,1.0,1.0,21.0,58.0,95.0,1,0.716792828685259,High
443749850,2026-01-01,2026-02-01,102.73027777777777,404.0,0,19.0,3.0,3.0,6.0,4.0,0.0,2.0,1.0,8.0,1,0.7632868525896415,High
443842503,2026-01-01,2026-02-01,29.614722222222223,67.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0.38918326693227095,Low
452453885,2026-01-01,2026-02-01,1.7783333333333333,52.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,0,0.3823306772908367,Insufficient Exposure
452460611,2026-01-01,2026-02-01,38.649166666666666,189.0,0,5.0,0.0,0.0,0.0,13.0,0.0,0.0,36.0,88.0,0,0.575219123505976,High
452477724,2026-01-01,2026-02-01,59.742777777777775,572.0,0,5.0,0.0,0.0,0.0,0.0,0.0,36.0,142.0,271.0,0,0.6105179282868526,High
452787130,2026-01-01,2026-02-01,15.8775,556.0,0,231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0,0.5325298804780877,Medium
453865293,2026-01-01,2026-02-01,76.45138888888889,535.0,0,37.0,1.0,0.0,1.0,1.0,0.0,0.0,28.0,0.0,0,0.6015537848605579,High
453885405,2026-01-01,2026-02-01,23.796388888888888,688.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1013.0,0,0.4082270916334662,Low
453948326,2026-01-01,2026-02-01,82.38777777777777,734.0,0,17.0,5.0,0.0,5.0,0.0,0.0,4.0,53.0,0.0,0,0.6206772908366535,High
454258476,2026-01-01,2026-02-01,2.623611111111111,32.0,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.3783466135458167,Insufficient Exposure
454260123,2026-01-01,2026-02-01,69.79083333333334,992.0,0,27.0,24.0,0.0,24.0,1.0,1.0,14.0,123.0,338.0,0,0.776195219123506,High
454270937,2026-01-01,2026-02-01,74.24583333333334,912.0,0,6.0,0.0,0.0,0.0,3.0,1.0,1.0,26.0,0.0,0,0.5942430278884463,High
454535057,2026-01-01,2026-02-01,19.99,889.0,0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.4859163346613546,Medium
456979367,2026-01-01,2026-02-01,20.738888888888887,1025.0,0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.47555776892430285,Medium
457001649,2026-01-01,2026-02-01,0.02277777777777778,28.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.3373107569721116,Insufficient Exposure
457147010,2026-01-01,2026-02-01,10.388055555555555,614.0,0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.47715139442231075,Medium
458181322,2026-01-01,2026-02-01,17.846666666666668,459.0,0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.4604183266932271,Medium
458653334,2026-01-01,2026-02-01,9.6525,513.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.3373107569721116,Low
458743772,2026-01-01,2026-02-01,5.779166666666667,88.0,0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.4098207171314741,Low
458748209,2026-01-01,2026-02-01,32.93194444444445,876.0,0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.4970717131474104,Medium
458886154,2026-01-01,2026-02-01,24.343611111111112,1234.0,0,471.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.5353187250996017,High
458891357,2026-01-01,2026-02-01,32.26555555555556,1112.0,0,352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.5337250996015936,Medium
459503546,2026-01-01,2026-02-01,17.636944444444445,600.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.3373107569721116,Low
459504879,2026-01-01,2026-02-01,30.593611111111112,1042.0,0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.4883067729083666,Medium
459505113,2026-01-01,2026-02-01,6.500555555555556,47.0,0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,54.0,304.0,0,0.5433466135458167,High
459505768,2026-01-01,2026-02-01,15.336666666666666,599.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.3373107569721116,Low
459506000,2026-01-01,2026-02-01,21.552222222222223,822.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.3373107569721116,Low
459506170,2026-01-01,2026-02-01,1.1402777777777777,14.0,1,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.40703187250996015,Insufficient Exposure
459506928,2026-01-01,2026-02-01,42.92861111111111,1498.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.3373107569721116,Low
459618013,2026-01-01,2026-02-01,17.120833333333334,795.0,0,9.0,2.0,4.0,6.0,0.0,0.0,0.0,0.0,5.0,0,0.5969521912350598,High
460126388,2026-01-01,2026-02-01,26.99861111111111,973.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.3373107569721116,Low
460126455,2026-01-01,2026-02-01,21.315,516.0,0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.4807370517928287,Medium
460126626,2026-01-01,2026-02-01,8.675833333333333,355.0,0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.4488645418326694,Low
460126729,2026-01-01,2026-02-01,93.30888888888889,912.0,0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,100.0,0.0,0,0.5228685258964144,Medium
460126901,2026-01-01,2026-02-01,97.7075,884.0,0,68.0,5.0,0.0,5.0,0.0,0.0,11.0,205.0,0.0,1,0.6629482071713148,High
464361907,2026-01-01,2026-02-01,0.44333333333333336,12.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0,0.3759561752988049,Insufficient Exposure
464367957,2026-01-01,2026-02-01,21.13083333333333,470.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,942.0,0,0.40663346613545825,Low
464368268,2026-01-01,2026-02-01,23.94638888888889,634.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,680.0,0,0.4010557768924303,Low
464397351,2026-01-01,2026-02-01,58.269444444444446,417.0,0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0,0.0,0,0.502589641434263,Medium
464868635,2026-01-01,2026-02-01,97.84,1291.0,0,34.0,3.0,0.0,3.0,3.0,0.0,1.0,28.0,0.0,0,0.6637450199203188,High
464878170,2026-01-01,2026-02-01,13.646944444444445,369.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,559.0,0,0.3974701195219124,Low
466915879,2026-01-01,2026-02-01,3.0269444444444447,20.0,0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.4265537848605578,Low
466968443,2026-01-01,2026-02-01,37.82666666666667,365.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40.0,0.0,0,0.43432270916334664,Low
467597649,2026-01-01,2026-02-01,20.052222222222223,577.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,867.0,0,0.40543824701195225,Low
507264328,2026-01-01,2026-02-01,9.37,288.0,0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.4851195219123506,Medium
507264889,2026-01-01,2026-02-01,11.0775,215.0,0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.45484063745019926,Low
507271653,2026-01-01,2026-02-01,23.80388888888889,888.0,0,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.5321314741035857,Medium
507301777,2026-01-01,2026-02-01,37.702222222222225,606.0,0,9.0,2.0,0.0,2.0,1.0,3.0,38.0,96.0,246.0,0,0.7476095617529881,High
507302529,2026-01-01,2026-02-01,52.97833333333333,270.0,0,9.0,0.0,2.0,2.0,1.0,2.0,26.0,81.0,290.0,1,0.7752390438247012,High
507302670,2026-01-01,2026-02-01,5.875,165.0,0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.4620119521912351,Medium
507303198,2026-01-01,2026-02-01,42.35583333333334,216.0,0,5.0,0.0,0.0,0.0,0.0,10.0,2.0,59.0,0.0,0,0.5574900398406375,High
507451763,2026-01-01,2026-02-01,110.25888888888889,1007.0,0,5.0,0.0,0.0,0.0,0.0,6.0,1.0,10.0,8.0,3,0.5691235059760956,High
509386574,2026-01-01,2026-02-01,0.24305555555555555,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.3373107569721116,Insufficient Exposure
509387327,2026-01-01,2026-02-01,0.15694444444444444,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.3373107569721116,Insufficient Exposure
509401137,2026-01-01,2026-02-01,0.7336111111111111,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.3373107569721116,Insufficient Exposure
509500466,2026-01-01,2026-02-01,3.4558333333333335,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.3373107569721116,Low
509636001,2026-01-01,2026-02-01,8.90611111111111,597.0,0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.4843227091633467,Medium
